Angulo_Rad,Radio_mm,Campo_mT
3.9269908169872414,8.0,-3.91
4.014257279586958,8.0,-3.76
4.101523742186674,8.0,-3.76
4.1887902047863905,8.0,-3.52
4.276056667386108,8.0,-3.42
4.363323129985824,8.0,-3.32
4.4505895925855405,8.0,-3.37
4.537856055185257,8.0,-3.13
4.625122517784973,8.0,-2.83
4.71238898038469,8.0,-2.54
4.799655442984406,8.0,-2.2
4.886921905584122,8.0,-1.95
4.974188368183839,8.0,-1.71
5.061454830783556,8.0,-1.47
5.1487212933832724,8.0,-1.12
5.235987755982989,8.0,-0.93
5.323254218582705,8.0,-0.54
5.410520681182422,8.0,-0.39
5.497787143782138,8.0,-0.15
5.585053606381854,8.0,0.0
5.672320068981571,8.0,0.2
5.759586531581287,8.0,0.34
5.846852994181004,8.0,0.44
5.934119456780721,8.0,0.39
6.021385919380437,8.0,0.34
6.1086523819801535,8.0,0.34
6.19591884457987,8.0,0.2
0.0,10.0,-15.68
0.08726646259971647,10.0,-16.17
0.17453292519943295,10.0,-16.51
0.2617993877991494,10.0,-16.61
0.3490658503988659,10.0,-16.7
0.4363323129985824,10.0,-16.8
0.5235987755982988,10.0,-17.14
0.6108652381980153,10.0,-17.68
0.6981317007977318,10.0,-17.53
0.7853981633974483,10.0,-17.73
0.8726646259971648,10.0,-18.51
0.9599310885968813,10.0,-18.02
1.0471975511965976,10.0,-18.32
1.1344640137963142,10.0,-18.8
1.2217304763960306,10.0,-18.75
1.3089969389957472,10.0,-19.19
1.3962634015954636,10.0,-19.88
1.4835298641951802,10.0,-20.12
1.5707963267948966,10.0,-21.15
1.6580627893946132,10.0,-21.2
1.7453292519943295,10.0,-21.59
1.8325957145940461,10.0,-21.93
1.9198621771937625,10.0,-22.42
2.007128639793479,10.0,-22.66
2.0943951023931953,10.0,-22.86
2.181661564992912,10.0,-23.3
2.2689280275926285,10.0,-23.35
2.356194490192345,10.0,-23.44
2.443460952792061,10.0,-23.64
2.530727415391778,10.0,-23.54
2.6179938779914944,10.0,-23.54
2.705260340591211,10.0,-23.59
2.792526803190927,10.0,-23.44
2.8797932657906435,10.0,-23.44
2.9670597283903604,10.0,-23.44
3.0543261909900767,10.0,-23.2
3.141592653589793,10.0,-22.95
